รายการ,ปี ,เดือน,จำนวน,หน่วย
จำนวนจุดความร้อน,2563,มกราคม," 2,197 ",จุด
จำนวนจุดความร้อน,2563,กุมภาพันธ์," 2,662 ",จุด
จำนวนจุดความร้อน,2563,มีนาคม," 11,387 ",จุด
จำนวนจุดความร้อน,2563,เมษายน," 4,937 ",จุด
จำนวนจุดความร้อน,2563,พฤษภาคม, 475 ,จุด
จำนวนจุดความร้อน,2564,มกราคม, 955 ,จุด
จำนวนจุดความร้อน,2564,กุมภาพันธ์," 2,093 ",จุด
จำนวนจุดความร้อน,2564,มีนาคม," 3,988 ",จุด
จำนวนจุดความร้อน,2564,เมษายน, 759 ,จุด
จำนวนจุดความร้อน,2564,พฤษภาคม, 271 ,จุด
จำนวนจุดความร้อน,2565,มกราคม, 252 ,จุด
จำนวนจุดความร้อน,2565,กุมภาพันธ์, 756 ,จุด
จำนวนจุดความร้อน,2565,มีนาคม," 1,017 ",จุด
จำนวนจุดความร้อน,2565,เมษายน, 439 ,จุด
จำนวนจุดความร้อน,2565,พฤษภาคม, 108 ,จุด
จำนวนจุดความร้อน,2566,มกราคม, 395 ,จุด
จำนวนจุดความร้อน,2566,กุมภาพันธ์," 2,607 ",จุด
จำนวนจุดความร้อน,2566,มีนาคม," 4,104 ",จุด
จำนวนจุดความร้อน,2566,เมษายน," 5,420 ",จุด
จำนวนจุดความร้อน,2566,พฤษภาคม, 568 ,จุด
จำนวนจุดความร้อน,2567,มกราคม, 67 ,จุด
จำนวนจุดความร้อน,2567,กุมภาพันธ์," 1,336 ",จุด
จำนวนจุดความร้อน,2567,มีนาคม," 6,381 ",จุด
จำนวนจุดความร้อน,2567,เมษายน," 4,575 ",จุด
จำนวนจุดความร้อน,2567,พฤษภาคม," 1,726 ",จุด
