รายการ,ปี ,เดือน,จำนวนวันที่เกิน,หน่วย
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2563,มกราคม,9,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2563,กุมภาพันธ์,17,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2563,มีนาคม,25,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2563,เมษายน,19,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2563,พฤษภาคม,0,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2564,มกราคม,12,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2564,กุมภาพันธ์,12,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2564,มีนาคม,28,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2564,เมษายน,7,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2564,พฤษภาคม,0,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2565,มกราคม,0,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2565,กุมภาพันธ์,2,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2565,มีนาคม,15,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2565,เมษายน,12,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2565,พฤษภาคม,0,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2566,มกราคม,2,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2566,กุมภาพันธ์,14,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2566,มีนาคม,26,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2566,เมษายน,25,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2566,พฤษภาคม,2,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2567,มกราคม,1,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2567,กุมภาพันธ์,11,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2567,มีนาคม,30,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2567,เมษายน,30,วัน
วันที่ปริมาณฝุ่นละอองขนาดเล็ก PM2.5 มีค่าเกินเกณฑ์มาตรฐาน,2567,พฤษภาคม,9,วัน
