รายการ,ปี ,เดือน,PM2.5 (ug/m3),สถานี
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2563,มกราคม,86,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2563,กุมภาพันธ์,99,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2563,มีนาคม,174,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2563,เมษายน,143,สถานี ต.ศรีภูมิ อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2563,พฤษภาคม,46,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2564,มกราคม,65,สถานี ต.ศรีภูมิ อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2564,กุมภาพันธ์,75,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2564,มีนาคม,132,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2564,เมษายน,114,สถานี ต.ศรีภูมิ อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2564,พฤษภาคม,32,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2565,มกราคม,36,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2565,กุมภาพันธ์,52,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2565,มีนาคม,100,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2565,เมษายน,88,สถานี ต.ศรีภูมิ อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2565,พฤษภาคม,44,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2566,มกราคม,60,สถานี ต.ศรีภูมิ อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2566,กุมภาพันธ์,105,สถานี ต.ศรีภูมิ อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2566,มีนาคม,153,สถานี ต.ศรีภูมิ อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2566,เมษายน,230,สถานี ต.ศรีภูมิ อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2566,พฤษภาคม,62,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2567,มกราคม,38,สถานี ต.ศรีภูมิ อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2567,กุมภาพันธ์,56,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2567,มีนาคม,144,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2567,เมษายน,158,สถานี ต.ช้างเผือก อ.เมือง
ค่าฝุ่นละอองขนาดเล็ก PM2.5 ที่เกินมาตรฐานสูงสุด,2567,พฤษภาคม,99,สถานี ต.ช้างเผือก อ.เมือง
