park_id,park_name,province,fiscal_year,calendar_year,month,thai_visitors,foreign_visitors,total_visitors,source_name,source_url,retrieved_at,schema_version,avg_temperature_2m_c,avg_relative_humidity_pct,total_precipitation_mm,avg_wind_speed_10m_kmh,weather_observations,pm25_max_ug_m3,pm25_exceed_days,hotspot_count
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2015,10,,,72189,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.034893+00:00,1.0,11.331,85.294,105.3,3.428,744,,,
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2015,11,,,74266,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035068+00:00,1.0,11.111,79.165,41.0,3.409,720,,,
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2015,12,,,197431,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035074+00:00,1.0,9.093,77.431,32.1,3.434,744,,,
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,1,,,180865,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035080+00:00,1.0,7.046,66.823,32.3,4.631,744,,,
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,2,,,78238,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035083+00:00,1.0,9.235,61.996,10.2,4.712,696,,,
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,3,,,32137,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035087+00:00,1.0,13.661,51.503,0.9,5.558,744,,,
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,4,,,44143,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035089+00:00,1.0,16.894,45.782,8.4,7.097,720,,,
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,5,,,23508,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035092+00:00,1.0,15.404,64.204,117.5,5.221,744,,,
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,6,,,18138,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035094+00:00,1.0,12.592,88.176,324.0,4.62,720,,,
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,7,,,32868,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035097+00:00,1.0,12.255,89.692,293.7,4.993,744,,,
