park_id,park_name,province,fiscal_year,calendar_year,month,thai_visitors,foreign_visitors,total_visitors,source_name,source_url,retrieved_at,schema_version
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2015,10,,,72189,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.034893+00:00,1.0
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2015,11,,,74266,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035068+00:00,1.0
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2015,12,,,197431,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035074+00:00,1.0
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,1,,,180865,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035080+00:00,1.0
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,2,,,78238,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035083+00:00,1.0
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,3,,,32137,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035087+00:00,1.0
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,4,,,44143,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035089+00:00,1.0
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,5,,,23508,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035092+00:00,1.0
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,6,,,18138,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035094+00:00,1.0
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,7,,,32868,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035097+00:00,1.0
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,8,,,31722,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035100+00:00,1.0
doi_inthanon,ดอยอินทนนท์,เชียงใหม่,2559,2016,9,,,20628,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035102+00:00,1.0
doi_suthep_pui,ดอยสุเทพ-ปุย,เชียงใหม่,2559,2015,10,,,33241,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035115+00:00,1.0
doi_suthep_pui,ดอยสุเทพ-ปุย,เชียงใหม่,2559,2015,11,,,30278,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035118+00:00,1.0
doi_suthep_pui,ดอยสุเทพ-ปุย,เชียงใหม่,2559,2015,12,,,41483,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035120+00:00,1.0
doi_suthep_pui,ดอยสุเทพ-ปุย,เชียงใหม่,2559,2016,1,,,37322,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035125+00:00,1.0
