ปี,หน่วยงาน,2564,หน่วย,,,,,,,,,
2564,อุทยานแห่งชาติคลองลาน,"151,520",คน,,,,,,,,,
2564,อุทยานแห่งชาติคลองวังเจ้า,"26,740",คน,,,,,,,,,
2564,อุทยานแห่งชาติแม่วงก์,"58,594",คน,,,,,,,,,
2564,อุทยานแห่งชาติขุนแจ,"3,261",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูซาง,"52,471",คน,,,,,,,,,
2564,อุทยานแห่งชาติแม่ปืม,"24,680",คน,,,,,,,,,
2564,อุทยานแห่งชาติดอยหลวง,"16,981",คน,,,,,,,,,
2564,อุทยานแห่งชาติดอยภูนาง,"13,378",คน,,,,,,,,,
2564,อุทยานแห่งชาติดอยอินทนนท์,"381,889",คน, , , , , ,,,,
2564,อุทยานแห่งชาติดอยสุเทพ-ปุย,"83,726",คน, , ,  , , ,,,,
2564,อุทยานแห่งชาติศรีลานนา,"41,019",คน,,,,,,,,,
2564,อุทยานแห่งชาติออบหลวง,"29,371",คน,,,,,,,,,
2564,อุทยานแห่งชาติดอยผ้าห่มปก ,"50,671",คน,,,,,,,,,
2564,อุทยานแห่งชาติผาแดง ,"18,460",คน,,,,,,,,,
2564,อุทยานแห่งชาติแม่วาง,"34,836",คน,,,,,,,,,
2564,อุทยานแห่งชาติขุนขาน,"1,367",คน,,,,,,,,,
2564,อุทยานแห่งชาติห้วยน้ำดัง,"74,851",คน,,,,,,,,,
2564,อุทยานแห่งชาติแม่ตะไคร้,"2,693",คน,,,,,,,,,
2564,อุทยานแห่งชาติแม่ปิง,"14,408",คน,,,,,,,,,
2564,อุทยานแห่งชาติลานสาง,"11,600",คน,,,,,,,,,
2564,อุทยานแห่งชาติตากสินมหาราช,"17,264",คน,,,,,,,,,
2564,อุทยานแห่งชาติแม่เมย,"4,715",คน,,,,,,,,,
2564,อุทยานแห่งชาติขุนพะวอ,"5,500",คน,,,,,,,,,
2564,อุทยานแห่งชาติดอยภูคา,"32,832",คน,,,,,,,,,
2564,อุทยานแห่งชาติศรีน่าน,"106,175",คน,,,,,,,,,
2564,อุทยานแห่งชาติแม่จริม,"4,159",คน,,,,,,,,,
2564,อุทยานแห่งชาติขุนน่าน,"3,126",คน,,,,,,,,,
2564,อุทยานแห่งชาติถ้ำสะเกิน,"7,984",คน,,,, ,,,,,
2564,อุทยานแห่งชาติขุนสถาน,"24,226",คน,,,,,,,,,
2564,อุทยานแห่งชาติน้ำตกชาติตระการ,"5,646",คน,,,,,,,,,
2564,อุทยานแห่งชาติทุ่งแสลงหลวง,"50,630",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูหินร่องกล้า,"175,539",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูสอยดาว,"8,637",คน,,,,,,,,,
2564,อุทยานแห่งชาติเขาค้อ,"18,864",คน,,,,,,,,,
2564,อุทยานแห่งชาติตาดหมอก,"14,718",คน,,,,,,,,,
2564,อุทยานแห่งชาติน้ำหนาว,"23,010",คน,,,,,,,,,
2564,อุทยานแห่งชาติดอยผากลอง,"2,339",คน,,,,,,,,,
2564,อุทยานแห่งชาติเวียงโกศัย,"8,297",คน,,,,,,,,,
2564,อุทยานแห่งชาติแม่ยม,"5,447",คน,,,,,,,,,
2564,อุทยานแห่งชาติลำน้ำน่าน,"30,383",คน,,,,,,,,,
2564,อุทยานแห่งชาติน้ำตกแม่สุรินทร์,"5,004",คน,,,,,,,,,
2564,อุทยานแห่งชาติสาละวิน,393,คน,,,,,,,,,
2564,อุทยานแห่งชาติถ้ำปลา-น้ำตกผาเสื่อ,"80,781",คน,,,,,,,,,
2564,อุทยานแห่งชาติแจ้ซ้อน,"143,916",คน,,,,,,,,,
2564,อุทยานแห่งชาติแม่วะ,"2,909",คน,,,,,,,,,
2564,อุทยานแห่งชาติดอยขุนตาล,"18,345",คน,,,,,,,,,
2564,อุทยานแห่งชาติดอยจง,"3,544",คน,,,,,,,,,
2564,อุทยานแห่งชาติรามคำแหง,"11,218",คน,,,,,,,,,
2564,อุทยานแห่งชาติศรีสัชนาลัย,"10,335",คน,,,,,,,,,
2564,อุทยานแห่งชาติต้นสักใหญ่ (คลองตรอน),"17,434",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูเวียง,"41,153",คน,, , ,,,,,,
2564,อุทยานแห่งชาติน้ำพอง,"43,923",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูผาม่าน,"36,738",คน,,,,,,,,,
2564,อุทยานแห่งชาติตาดโตน,"148,783",คน, ,  , , , ,,,,
2564,อุทยานแห่งชาติไทรทอง,"4,886",คน,,,,,,,,,
2564,อุทยานแห่งชาติป่าหินงาม,"22,492",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูแลนคา,"102,830",คน,,,,,,,,,
2564,อุทยานแห่งชาติทับลาน,"59,838",คน,,,,,,,,,
2564,อุทยานแห่งชาติเขาใหญ่,"1,147,412",คน, , , , , ,,,,
2564,อุทยานแห่งชาติภูผาเทิบ ,"15,516",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูกระดึง,"64,918",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูเรือ,"111,981",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูสวนทราย ,"9,324",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูพาน,"1,196",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูผายล,"12,219",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูผาเหล็ก,"1,387",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูลังกา,"61,579",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูเก้า-ภูพานคำ,"6,274",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูสระดอกบัว,"4,717",คน, ,,,,,,,,
2564,อุทยานแห่งชาติแก่งตะนะ,"18,230",คน,,,,,,,,,
2564,อุทยานแห่งชาติภูจอง-นายอย,"37,427",คน,,,,,,,,,
2564,อุทยานแห่งชาติผาแต้ม,"132,372",คน,,,,,,,,,
2564,อุทยานแห่งชาติเขาพระวิหาร,"124,000",คน,,,,,,,,,
2564,อุทยานแห่งชาติเอราวัณ,"157,898",คน, , ,  , , ,,,,
2564,อุทยานแห่งชาติเฉลิมรัตนโกสินทร์ ,"22,012",คน,,,,,,,,,
2564,อุทยานแห่งชาติไทรโยค,"48,213",คน,,,,,,,,,
2564,อุทยานแห่งชาติเขื่อนศรีนครินทร์,"67,582",คน,,,,,,,,,
2564,อุทยานแห่งชาติเขาแหลม,"20,638",คน,,,,,,,,,
2564,อุทยานแห่งชาติทองผาภูมิ,"49,674",คน,,,,,,,,,
2564,อุทยานแห่งชาติลำคลองงู,"2,217",คน,,,,,,,,,
2564,อุทยานแห่งชาติน้ำตกห้วยยาง,"10,143",คน,,,,,,,,,
2564,อุทยานแห่งชาติหาดวนกร,"29,579",คน,,,,,,,,,
2564,อุทยานแห่งชาติเขาสามร้อยยอด,"81,972",คน,,,,,,,,,
2564,อุทยานแห่งชาติกุยบุรี,"4,924",คน,,,,,,,,,
2564,อุทยานแห่งชาติเฉลิมพระเกียรติไทยประจัน,"14,916",คน,,,,,,,,,
2564,อุทยานแห่งชาติแก่งกระจาน,"51,791",คน,,,,,,,,,
2564,อุทยานแห่งชาติน้ำตกสามหลั่น ,"30,745",คน, ,,,,,,,,
2564,อุทยานแห่งชาติน้ำตกเจ็ดสาวน้อย,"104,886",คน,,,,,,,,,
2564,อุทยานแห่งชาติพุเตย,"10,090",คน,,,,,,,,,
2564,อุทยานแห่งชาติน้ำตกพลิ้ว,"174,218",คน, , , ,  , ,,,,
2564,อุทยานแห่งชาติเขาคิชฌกูฏ,"41,100",คน,,,,,,,,,
2564,อุทยานแห่งชาติเขาสิบห้าชั้น,"9,413",คน,,,,,,,,,
2564,อุทยานแห่งชาติหมู่เกาะช้าง,"92,945",คน,,,,,,,,,
2564,อุทยานแห่งชาติน้ำตกคลองแก้ว,"9,881",คน,,,,,,,,,
2564,อุทยานแห่งชาติเขาแหลมหญ้า-หมู่เกาะเสม็ด,"434,198",คน, , , , , ,,,,
